"","ID","Passenger Class","Age","Sex","Survived"
"1",1,"1st",29,"female","YES"
"2",2,"1st",2,"female","NO"
"3",3,"1st",30,"male","NO"
"4",4,"1st",25,"female","NO"
"5",5,"1st",0.92,"male","YES"
"6",6,"1st",47,"male","YES"
"7",7,"1st",63,"female","YES"
"8",8,"1st",39,"male","NO"
"9",9,"1st",58,"female","YES"
"10",10,"1st",71,"male","NO"
"11",11,"1st",47,"male","NO"
"12",12,"1st",19,"female","YES"
"13",13,"1st",NA,"female","YES"
"14",14,"1st",NA,"male","YES"
"15",15,"1st",NA,"male","NO"
"16",16,"1st",50,"female","YES"
"17",17,"1st",24,"male","NO"
"18",18,"1st",36,"male","NO"
"19",19,"1st",37,"male","YES"
"20",20,"1st",47,"female","YES"
"21",21,"1st",26,"male","YES"
"22",22,"1st",25,"male","NO"
"23",23,"1st",25,"male","YES"
"24",24,"1st",19,"female","YES"
"25",25,"1st",28,"male","YES"
"26",26,"1st",45,"male","NO"
"27",27,"1st",39,"male","YES"
"28",28,"1st",30,"female","YES"
"29",29,"1st",58,"female","YES"
"30",30,"1st",NA,"male","NO"
"31",31,"1st",45,"female","YES"
"32",32,"1st",22,"female","YES"
"33",33,"1st",NA,"male","YES"
"34",34,"1st",41,"male","NO"
"35",35,"1st",48,"male","NO"
"36",36,"1st",NA,"male","NO"
"37",37,"1st",44,"female","YES"
"38",38,"1st",59,"female","YES"
"39",39,"1st",60,"female","YES"
"40",40,"1st",45,"male","NO"
"41",41,"1st",NA,"male","YES"
"42",42,"1st",53,"female","YES"
"43",43,"1st",58,"female","YES"
"44",44,"1st",36,"male","YES"
"45",45,"1st",33,"male","NO"
"46",46,"1st",NA,"male","NO"
"47",47,"1st",NA,"male","NO"
"48",48,"1st",36,"male","YES"
"49",49,"1st",36,"female","YES"
"50",50,"1st",14,"female","YES"
"51",51,"1st",11,"male","YES"
"52",52,"1st",49,"male","NO"
"53",53,"1st",NA,"female","YES"
"54",54,"1st",36,"male","NO"
"55",55,"1st",NA,"female","YES"
"56",56,"1st",46,"male","NO"
"57",57,"1st",47,"female","YES"
"58",58,"1st",27,"male","YES"
"59",59,"1st",31,"female","YES"
"60",60,"1st",NA,"female","YES"
"61",61,"1st",NA,"male","YES"
"62",62,"1st",NA,"female","YES"
"63",63,"1st",NA,"male","NO"
"64",64,"1st",27,"male","NO"
"65",65,"1st",26,"female","YES"
"66",66,"1st",NA,"male","NO"
"67",67,"1st",NA,"male","NO"
"68",68,"1st",64,"female","YES"
"69",69,"1st",37,"male","NO"
"70",70,"1st",39,"female","YES"
"71",71,"1st",55,"female","YES"
"72",72,"1st",NA,"male","NO"
"73",73,"1st",70,"male","NO"
"74",74,"1st",69,"female","YES"
"75",75,"1st",36,"female","YES"
"76",76,"1st",39,"male","NO"
"77",77,"1st",38,"female","YES"
"78",78,"1st",NA,"male","YES"
"79",79,"1st",27,"male","YES"
"80",80,"1st",31,"male","NO"
"81",81,"1st",27,"female","YES"
"82",82,"1st",NA,"female","YES"
"83",83,"1st",31,"male","YES"
"84",84,"1st",17,"female","YES"
"85",85,"1st",NA,"male","YES"
"86",86,"1st",NA,"female","YES"
"87",87,"1st",4,"male","YES"
"88",88,"1st",27,"female","YES"
"89",89,"1st",50,"male","NO"
"90",90,"1st",48,"female","YES"
"91",91,"1st",49,"male","YES"
"92",92,"1st",48,"female","YES"
"93",93,"1st",39,"male","NO"
"94",94,"1st",23,"female","YES"
"95",95,"1st",53,"female","YES"
"96",96,"1st",36,"female","NO"
"97",97,"1st",NA,"female","YES"
"98",98,"1st",NA,"male","YES"
"99",99,"1st",30,"male","NO"
"100",100,"1st",24,"female","YES"
"101",101,"1st",19,"male","NO"
"102",102,"1st",28,"female","YES"
"103",103,"1st",23,"female","YES"
